	2009	18	2,486	724.1 (Unreliable)
	2010	14	2,508	558.2 (Unreliable)
	2011	29	2,563	1,131.5
	2012	20	2,580	775.2
	Total	247	33,523	736.8
Juneau Borough, AK (02110)	1999	124	30,724	403.6
	2000	131	30,711	426.6
	2001	144	30,502	472.1
	2002	150	30,712	488.4
	2003	129	30,993	416.2
	2004	132	31,103	424.4
	2005	123	31,003	396.7
	2006	170	30,808	551.8
	2007	162	30,682	528.0
	2008	159	31,110	511.1
	2009	144	30,857	466.7
	2010	145	31,275	463.6
	2011	179	32,144	556.9
	2012	170	32,441	524.0
	Total	2,062	435,065	474.0
Kenai Peninsula Borough, AK (02122)	1999	238	49,729	478.6
	2000	304	49,691	611.8
	2001	257	49,986	514.1
	2002	300	50,804	590.5
	2003	324	50,963	635.8
	2004	318	51,404	618.6
	2005	278	51,590	538.9
	2006	321	52,253	614.3
	2007	304	53,272	570.7
	2008	366	53,655	682.1
	2009	401	54,796	731.8
	2010	382	55,400	689.5
	2011	365	56,405	647.1
	2012	355	56,884	624.1
	Total	4,513	736,832	612.5
Ketchikan Gateway Borough, AK (02130)	1999	101	14,302	706.2
	2000	97	14,070	689.4
	2001	101	13,796	732.1
	2002	82	13,599	603.0
	2003	92	13,335	689.9
	2004	77	13,244	581.4
	2005	81	13,305	608.8
	2006	76	13,492	563.3
	2007	95	13,341	712.1
	2008	102	13,326	765.4
	2009	95	13,294	714.6
	2010	94	13,477	697.5
	2011	100	13,669	731.6
	2012	98	13,742	713.1
	Total	1,291	189,992	679.5
Kodiak Island Borough, AK (02150)	1999	53	13,760	385.2
	2000	44	13,913	316.3
	2001	45	13,748	327.3
	2002	49	13,651	358.9
	2003	49	13,239	370.1
	2004	46	13,206	348.3
	2005	62	13,105	473.1
	2006	55	13,184	417.2
	2007	57	13,159	433.2
	2008	57	13,262	429.8
	2009	62	13,505	459.1
	2010	54	13,592	397.3
	2011	57	13,869	411.0
	2012	67	14,118	474.6
	Total	757	189,311	399.9
Lake and Peninsula Borough, AK (02164)	1999	11	1,847	595.6 (Unreliable)
	2000	25	1,823	1,371.4
	2001	19	1,715	1,107.9 (Unreliable)
	2002	11	1,621	678.6 (Unreliable)
	2003	13	1,626	799.5 (Unreliable)
	2005	13	1,639	793.2 (Unreliable)
	2006	19	1,624	1,170.0 (Unreliable)
	2007	13	1,629	798.0 (Unreliable)
	2008	11	1,606	684.9 (Unreliable)
	2009	14	1,612	868.5 (Unreliable)
	2010	11	1,631	674.4 (Unreliable)
	2011	16	1,650	969.7 (Unreliable)
	Total	192	23,299	824.1
Matanuska-Susitna Borough, AK (02170)	1999	248	57,824	428.9
	2000	304	59,322	512.5
	2001	304	61,807	491.9
	2002	289	64,353	449.1
	2003	347	67,162	516.7
	2004	332	70,761	469.2
	2005	388	74,409	521.4
	2006	410	78,633	521.4
	2007	416	81,402	511.0
	2008	397	84,079	472.2
	2009	410	86,885	471.9
	2010	485	88,995	545.0
	2011	496	91,886	539.8
	2012	514	93,845	547.7
	Total	5,340	1,061,363	503.1
Nome Census Area, AK (02180)	1999	63	9,204	684.5
	2000	58	9,196	630.7
	2001	58	9,167	632.7
	2002	71	9,161	775.0
	2003	69	9,210	749.2
	2004	56	9,351	598.9
	2005	63	9,338	674.7
	2006	55	9,235	595.6
	2007	54	9,246	584.0
	2008	68	9,231	736.6
	2009	76	9,313	816.1
	2010	81	9,492	853.4
	2011	78	9,868	790.4
	2012	67	9,857	679.7
	Total	917	130,869	700.7
North Slope Borough, AK (02185)	1999	37	7,384	501.1
	2000	35	7,385	473.9
	2001	31	7,530	411.7
	2002	27	7,728	349.4
	2003	37	7,968	464.4
	2004	46	8,046	571.7
	2005	27	8,190	329.7
	2006	41	8,315	493.1
	2007	39	8,519	457.8
	2008	55	8,841	622.1
	2009	49	9,105	538.2
	2010	51	9,430	540.8
	2011	38	9,531	398.7
	2012	41	9,634	425.6
	Total	554	117,606	471.1
Northwest Arctic Borough, AK (02188)	1999	37	7,113	520.2
	2000	35	7,208	485.6
	2001	40	7,251	551.6
	2002	44	7,252	606.7
	2003	42	7,310	574.6
	2004	32	7,397	432.6
	2005	45	7,416	606.8
	2006	53	7,467	709.8
	2007	36	7,440	483.9
	2008	51	7,466	683.1
	2009	49	7,467	656.2
	2010	43	7,523	571.6
	2011	42	7,711	544.7
	2012	47	7,724	608.5
	Total	596	103,745	574.5
Prince of Wales-Outer Ketchikan Census Area, AK (02201)	1999	23	6,210	370.4
	2000	27	6,146	439.3
	2001	21	5,887	356.7
	2002	31	5,675	546.3
	2003	28	5,650	495.6
	2004	29	5,614	516.6
	2005	34	5,534	614.4
	2006	29	5,574	520.3
	2007	34	5,457	623.1
	2008	31	5,448	569.0
	2009	30	5,465	548.9
	2010	37	5,559	665.6
	2011	38	5,757	660.1
	2012	45	5,756	781.8
	Total	437	79,732	548.1
Sitka Borough, AK (02220)	1999	56	8,805	636.0
	2000	54	8,835	611.2
	2001	47	8,727	538.6
	2002	43	8,874	484.6
	2003	48	8,881	540.5
	2004	49	8,890	551.2
	2005	57	8,994	633.8
	2006	66	9,046	729.6
	2007	59	8,851	666.6
	2008	62	8,835	701.8
	2009	48	8,844	542.7
	2010	65	8,881	731.9
	2011	55	8,920	616.6
	2012	71	9,044	785.1
	Total	780	124,427	626.9
Skagway-Hoonah-Angoon Census Area, AK (02232)	1999	11	3,453	318.6 (Unreliable)
	2000	23	3,436	669.4
	2001	17	3,406	499.1 (Unreliable)
	2002	11	3,344	328.9 (Unreliable)
	2003	11	3,273	336.1 (Unreliable)
	2004	16	3,265	490.0 (Unreliable)
	2005	17	3,265	520.7 (Unreliable)
	2006	16	3,217	497.4 (Unreliable)
	2007	18	3,197	563.0 (Unreliable)
	2008	17	3,192	532.6 (Unreliable)
	2009	24	3,119	769.5
	2010	18	3,118	577.3 (Unreliable)
	2011	24	3,081	779.0
	2012	19	3,129	607.2 (Unreliable)
	Total	242	45,495	531.9
Southeast Fairbanks Census Area, AK (02240)	1999	27	6,169	437.7
	2000	27	6,174	437.3
	2001	25	5,705	438.2
	2002	51	5,672	899.2
	2003	45	5,772	779.6
	2004	39	6,022	647.6
	2005	28	6,530	428.8
	2006	33	6,817	484.1
	2007	39	6,945	561.6
	2008	25	6,904	362.1
	2009	45	6,955	647.0
	2010	43	7,029	611.8
	2011	33	7,107	464.3
	2012	45	7,138	630.4
	Total	505	90,939	555.3
Valdez-Cordova Census Area, AK (02261)	1999	33	10,077	327.5
	2000	66	10,195	647.4
	2001	46	10,114	454.8
	2002	50	10,061	497.0
	2003	44	9,996	440.2
	2004	48	9,990	480.5
	2005	57	9,914	574.9
	2006	49	9,828	498.6
	2007	50	9,572	522.4
	2008	59	9,458	623.8
	2009	53	9,492	558.4
	2010	57	9,636	591.5
	2011	60	9,745	615.7
	2012	44	9,728	452.3
	Total	716	137,806	519.6
Wade Hampton Census Area, AK (02270)	1999	43	6,929	620.6
	2000	39	7,028	554.9
	2001	35	7,051	496.4
	2002	37	7,103	520.9
	2003	36	7,201	499.9
	2004	46	7,330	627.6
	2005	39	7,313	533.3
	2006	50	7,292	685.7
	2007	54	7,372	732.5
	2008	45	7,392	608.8
	2009	58	7,469	776.5
	2010	64	7,459	858.0
	2011	53	7,664	691.5
	2012	54	7,804	692.0
	Total	653	102,407	637.7
Wrangell-Petersburg Census Area, AK (02280)	1999	50	6,681	748.4
	2000	35	6,684	523.6
	2001	44	6,624	664.3
	2002	56	6,494	862.3
	2003	56	6,369	879.3
	2004	48	6,347	756.3
	2005	43	6,257	687.2
	2006	51	6,195	823.2
	2007	43	6,220	691.3
	2008	53	6,170	859.0
	2009	50	6,106	818.9
	2010	54	6,184	873.2
	2011	55	6,214	885.1
	2012	38	6,218	611.1
	Total	676	88,763	761.6
Yakutat Borough, AK (02282)	Total	54	9,668	558.5
Yukon-Koyukuk Census Area, AK (02290)ʠ	1999	55	8,472	649.2
	2000	66	8,444	781.6
	2001	56	8,214	681.8
	2002	50	8,196	610.1
	2003	41	6,252	655.8
	2004	42	6,218	675.5
	2005	32	6,000	533.3
	2006	58	5,762	1,006.6
	2007	52	5,712	910.4
	2008	55	5,585	984.8
	2009	45	5,495	818.9
	2010	42	5,588	751.6
	2011	57	5,744	992.3
	2012	63	5,755	1,094.7
	Total	714	91,437	780.9
Total		46,443	9,408,273	493.6
