
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Aleutians East Borough, AK (02013)	2005	17	2,787	610.0 (Unreliable)
	2007	13	3,012	431.6 (Unreliable)
	Total	88	40,350	218.1
Aleutians West Census Area, AK (02016)	1999	16	5,396	296.5 (Unreliable)
	2000	14	5,465	256.2 (Unreliable)
	2002	11	5,472	201.0 (Unreliable)
	2003	19	5,709	332.8 (Unreliable)
	2004	12	5,798	207.0 (Unreliable)
	2005	15	5,913	253.7 (Unreliable)
	2007	17	5,466	311.0 (Unreliable)
	2008	11	5,393	204.0 (Unreliable)
	2009	16	5,537	289.0 (Unreliable)
	2010	11	5,561	197.8 (Unreliable)
	2012	19	5,560	341.7 (Unreliable)
	Total	184	77,970	236.0
Anchorage Borough, AK (02020)	1999	1,005	259,348	387.5
	2000	1,064	260,283	408.8
	2001	1,170	264,274	442.7
	2002	1,234	268,229	460.1
	2003	1,227	270,568	453.5
	2004	1,142	274,484	416.1
	2005	1,250	276,494	452.1
	2006	1,277	280,085	455.9
	2007	1,367	278,792	490.3
	2008	1,360	281,554	483.0
	2009	1,371	287,677	476.6
	2010	1,424	291,826	488.0
	2011	1,485	295,907	501.8
	2012	1,501	298,294	503.2
	Total	17,877	3,887,815	459.8
Bethel Census Area, AK (02050)	1999	87	15,841	549.2
	2000	77	16,006	481.1
	2001	87	16,171	538.0
	2002	91	16,414	554.4
	2003	95	16,517	575.2
	2004	86	16,603	518.0
	2005	104	16,728	621.7
	2006	94	16,755	561.0
	2007	96	16,723	574.1
	2008	89	16,762	531.0
	2009	95	16,860	563.5
	2010	101	17,013	593.7
	2011	98	17,441	561.9
	2012	114	17,653	645.8
	Total	1,314	233,487	562.8
Bristol Bay Borough, AK (02060)	2000	10	1,258	794.9 (Unreliable)
	2010	10	997	1,003.0 (Unreliable)
	Total	90	15,611	576.5
Denali Borough, AK (02068)�*	2012	11	1,860	591.4 (Unreliable)
	Total	53	18,315	289.4
Dillingham Census Area, AK (02070)	1999	23	4,872	472.1
	2000	20	4,922	406.3
	2001	30	4,840	619.8
	2002	31	4,900	632.7
	2003	35	4,828	724.9
	2004	25	4,850	515.5
	2005	26	4,841	537.1
	2006	25	4,833	517.3
	2007	30	4,832	620.9
	2008	23	4,769	482.3
	2009	28	4,776	586.3
	2010	37	4,847	763.4
	2011	37	4,974	743.9
	2012	31	4,986	621.7
	Total	401	68,070	589.1
Fairbanks North Star Borough, AK (02090)	1999	340	83,390	407.7
	2000	330	82,840	398.4
	2001	360	84,814	424.5
	2002	281	86,095	326.4
	2003	356	86,885	409.7
	2004	383	89,043	430.1
	2005	338	90,431	373.8
	2006	358	90,545	395.4
	2007	389	93,545	415.8
	2008	364	94,552	385.0
	2009	419	95,238	440.0
	2010	391	97,581	400.7
	2011	425	99,276	428.1
	2012	456	100,141	455.4
	Total	5,190	1,274,376	407.3
Haines Borough, AK (02100)	1999	18	2,354	764.7 (Unreliable)
	2000	18	2,392	752.5 (Unreliable)
	2001	13	2,334	557.0 (Unreliable)
	2002	16	2,325	688.2 (Unreliable)
	2003	15	2,337	641.8 (Unreliable)
	2004	16	2,281	701.4 (Unreliable)
	2005	18	2,280	789.5 (Unreliable)
	2006	25	2,300	1,087.0
	2007	12	2,379	504.4 (Unreliable)
	2008	15	2,404	624.0 (Unreliable)
