
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Bernalillo County, NM (35001)	1968	2,037	297,059	685.7
	1969	1,965	307,628	638.8
	1970	2,081	316,457	657.6
	1971	2,185	331,452	659.2
	1972	2,186	339,601	643.7
	1973	2,247	353,626	635.4
	1974	2,174	365,307	595.1
	1975	2,149	371,487	578.5
	1976	2,331	380,797	612.1
	1977	2,251	392,864	573.0
	1978	2,406	400,206	601.2
	Total	24,012	3,856,484	622.6
Catron County, NM (35003)	1968	20	2,374	842.5
	1969	20	2,274	879.5
	1970	25	2,191	1,141.0
	1971	16	2,090	765.6 (Unreliable)
	1972	24	2,253	1,065.2
	1973	16	2,367	676.0 (Unreliable)
	1974	18	2,426	742.0 (Unreliable)
	1975	15	2,344	639.9 (Unreliable)
	1976	17	2,465	689.7 (Unreliable)
	1977	27	2,591	1,042.1
	1978	21	2,708	775.5
	Total	219	26,083	839.6
Chaves County, NM (35005)	1968	370	40,878	905.1
	1969	385	42,244	911.4
	1970	382	43,402	880.1
	1971	410	45,424	902.6
	1972	448	45,896	976.1
	1973	449	45,103	995.5
	1974	431	45,623	944.7
	1975	479	46,675	1,026.2
	1976	484	47,509	1,018.8
	1977	470	48,546	968.2
	1978	467	48,686	959.2
	Total	4,775	499,986	955.0
Colfax County, NM (35007)	1968	139	12,327	1,127.6
	1969	128	12,204	1,048.8
	1970	122	12,178	1,001.8
	1971	117	12,116	965.7
	1972	128	12,357	1,035.9
	1973	135	12,582	1,073.0
	1974	138	12,907	1,069.2
	1975	113	13,161	858.6
	1976	128	13,486	949.1
	1977	122	13,318	916.1
	1978	112	13,169	850.5
	Total	1,382	139,805	988.5
Curry County, NM (35009)	1968	218	37,483	581.6
	1969	264	38,726	681.7
	1970	228	39,773	573.3
	1971	245	41,517	590.1
	1972	298	42,139	707.2
	1973	308	42,808	719.5
	1974	296	43,209	685.0
	1975	300	44,014	681.6
	1976	279	41,908	665.7
	1977	293	42,175	694.7
	1978	301	43,839	686.6
	Total	3,030	457,591	662.2
DeBaca County, NM (35011)	1968	32	2,498	1,281.0
	1969	25	2,532	987.4
	1970	34	2,550	1,333.3
	1971	38	2,605	1,458.7
	1972	32	2,443	1,309.9
	1973	46	2,516	1,828.3
	1974	24	2,515	954.3
	1975	36	2,463	1,461.6
	1976	38	2,388	1,591.3
	1977	27	2,367	1,140.7
	1978	30	2,513	1,193.8
	Total	362	27,390	1,321.7
Dona Ana County, NM (35013)	1968	361	66,341	544.2
	1969	367	68,369	536.8
	1970	389	70,018	555.6
	1971	426	72,947	584.0
	1972	410	76,539	535.7
	1973	395	77,005	513.0
	1974	470	78,971	595.2
	1975	387	82,007	471.9
	1976	414	85,315	485.3
	1977	444	88,389	502.3
	1978	456	92,212	494.5
	Total	4,519	858,113	526.6
Eddy County, NM (35015)	1968	370	42,126	878.3
	1969	323	41,546	777.5
	1970	336	41,206	815.4
	1971	311	40,664	764.8
	1972	376	40,968	917.8
	1973	380	40,913	928.8
	1974	424	41,118	1,031.2
	1975	367	42,776	858.0
	1976	371	45,110	822.4
	1977	369	45,746	806.6
	1978	401	46,679	859.1
	Total	4,028	468,852	859.1
Grant County, NM (35017)	1968	175	21,345	819.9
	1969	161	21,786	739.0
	1970	175	22,098	791.9
	1971	173	22,668	763.2
	1972	194	22,929	846.1
	1973	193	23,522	820.5
	1974	184	23,832	772.1
	1975	183	24,757	739.2
	1976	179	24,482	731.1
	1977	166	25,143	660.2
	1978	173	25,344	682.6
	Total	1,956	257,906	758.4
Guadalupe County, NM (35019)	1968	48	5,149	932.2
	1969	47	5,043	932.0
	1970	49	4,978	984.3
	1971	34	4,865	698.9
	1972	60	5,097	1,177.2
	1973	33	4,867	678.0
	1974	41	4,824	849.9
	1975	39	4,779	816.1
	1976	48	4,830	993.8
	1977	43	4,776	900.3
	1978	45	4,648	968.2
	Total	487	53,856	904.3
Harding County, NM (35021)	1968	14	1,301	1,076.1 (Unreliable)
	1969	10	1,322	756.4 (Unreliable)
	1970	17	1,343	1,265.8 (Unreliable)
	1971	13	1,384	939.3 (Unreliable)
	1972	8	1,290	620.2 (Unreliable)
	1973	17	1,229	1,383.2 (Unreliable)
	1974	9	1,211	743.2 (Unreliable)
	1975	7	1,190	588.2 (Unreliable)
	1976	7	1,231	568.6 (Unreliable)
	1977	16	1,153	1,387.7 (Unreliable)
	1978	13	1,130	1,150.4 (Unreliable)
	Total	131	13,784	950.4
Hidalgo County, NM (35023)	1968	40	5,060	790.5
	1969	61	4,895	1,246.2
	1970	59	4,739	1,245.0
	1971	47	4,561	1,030.5
	1972	38	4,722	804.7
	1973	47	5,106	920.5
	1974	55	5,494	1,001.1
	1975	58	5,969	971.7
	1976	65	6,367	1,020.9
	1977	53	6,405	827.5
	1978	37	6,301	587.2
	Total	560	59,619	939.3
Lea County, NM (35025)	1968	300	49,098	611.0
	1969	322	49,419	651.6
	1970	327	49,635	658.8
	1971	339	50,110	676.5
	1972	356	49,736	715.8
	1973	314	48,914	641.9
	1974	328	49,558	661.9
	1975	353	51,684	683.0
	1976	375	53,145	705.6
	1977	368	52,779	697.2
	1978	380	53,977	704.0
	Total	3,762	558,055	674.1
Lincoln County, NM (35027)	1968	79	7,238	1,091.5
	1969	84	7,420	1,132.1
	1970	68	7,578	897.3
	1971	72	7,844	917.9
	1972	80	8,192	976.6
	1973	66	8,386	787.0
	1974	58	9,135	634.9
	1975	108	9,488	1,138.3
	1976	68	9,782	695.2
	1977	88	10,087	872.4
	1978	72	10,214	704.9
	Total	843	95,364	884.0
Los Alamos County, NM (35028)	1968	39	14,799	263.5
	1969	39	14,950	260.9
	1970	35	15,173	230.7
	1971	51	15,407	331.0
	1972	58	14,977	387.3
	1973	46	15,262	301.4
	1974	53	15,009	353.1
	1975	47	15,624	300.8
	1976	48	15,950	300.9
	1977	47	16,269	288.9
	1978	49	16,833	291.1
	Total	512	170,253	300.7
Luna County, NM (35029)	1968	111	11,091	1,000.8
	1969	123	11,468	1,072.5
	1970	144	11,725	1,228.1
	1971	137	12,315	1,112.5
	1972	140	12,838	1,090.5
	1973	130	13,548	959.6
	1974	145	14,063	1,031.1
	1975	150	14,876	1,008.3
	1976	143	15,327	933.0
	1977	155	15,220	1,018.4
	1978	135	15,199	888.2
	Total	1,513	147,670	1,024.6
McKinley County, NM (35031)	1968	313	42,549	735.6
	1969	319	42,927	743.1
	1970	349	43,505	802.2
	1971	374	44,834	834.2
	1972	332	46,752	710.1
	1973	412	47,110	874.5
	1974	390	47,521	820.7
	1975	379	49,696	762.6
	1976	377	53,029	710.9
	1977	325	53,510	607.4
	1978	364	54,226	671.3
	Total	3,934	525,659	748.4
Mora County, NM (35033)	1968	55	4,932	1,115.2
	1969	53	4,783	1,108.1
	1970	51	4,668	1,092.5
	1971	35	4,512	775.7
	1972	56	4,776	1,172.5
	1973	33	4,712	700.3
	1974	52	4,662	1,115.4
	1975	49	4,667	1,049.9
	1976	36	4,655	773.4
	1977	30	4,610	650.8
	1978	48	4,506	1,065.2
	Total	498	51,483	967.3
Otero County, NM (35035)	1968	214	39,109	547.2
	1969	213	40,291	528.7
	1970	208	41,232	504.5
	1971	245	42,989	569.9
	1972	252	42,371	594.7
	1973	229	42,452	539.4
	1974	239	43,162	553.7
	1975	230	43,882	524.1
	1976	240	44,156	543.5
	1977	237	44,879	528.1
	1978	262	45,680	573.6
	Total	2,569	470,203	546.4
Quay County, NM (35037)	1968	113	10,386	1,088.0
	1969	136	10,636	1,278.7
	1970	131	10,919	1,199.7
	1971	148	11,346	1,304.4
	1972	124	11,183	1,108.8
	1973	141	10,984	1,283.7
	1974	132	10,984	1,201.7
	1975	138	11,038	1,250.2
	1976	128	10,954	1,168.5
	1977	111	10,836	1,024.4
	1978	124	10,850	1,142.9
	Total	1,426	120,116	1,187.2
Rio Arriba County, NM (35039)	1968	257	24,236	1,060.4
	1969	213	24,803	858.8
	1970	215	25,238	851.9
	1971	183	26,189	698.8
	1972	204	26,765	762.2
	1973	259	27,427	944.3
	1974	220	27,942	787.3
	1975	237	28,614	828.3
	1976	249	28,955	860.0
	1977	233	29,269	796.1
	1978	248	29,694	835.2
	Total	2,518	299,132	841.8
Roosevelt County, NM (35041)	1968	111	16,384	677.5
	1969	149	16,459	905.3
	1970	128	16,517	775.0
	1971	151	16,716	903.3
	1972	124	16,832	736.7
	1973	162	16,481	983.0
	1974	141	16,643	847.2
	1975	133	16,228	819.6
	1976	131	16,007	818.4
	1977	135	16,159	835.4
	1978	150	15,996	937.7
	Total	1,515	180,422	839.7
Sandoval County, NM (35043)	1968	120	15,762	761.3
	1969	141	16,714	843.6
	1970	145	17,528	827.2
	1971	152	19,341	785.9
	1972	168	20,676	812.5
	1973	191	23,803	802.4
	1974	210	25,430	825.8
	1975	211	26,764	788.4
	1976	213	28,635	743.8
	1977	180	30,751	585.3
	1978	231	32,490	711.0
	Total	1,962	257,894	760.8
San Juan County, NM (35045)	1968	294	51,438	571.6
	1969	294	51,999	565.4
	1970	359	52,716	681.0
	1971	363	54,066	671.4
	1972	352	55,806	630.8
	1973	421	58,850	715.4
	1974	382	61,202	624.2
	1975	357	64,803	550.9
	1976	396	68,375	579.2
	1977	440	71,666	614.0
	1978	459	75,434	608.5
	Total	4,117	666,355	617.8
San Miguel County, NM (35047)	1968	187	21,025	889.4
	1969	188	21,548	872.5
	1970	182	22,055	825.2
	1971	181	22,986	787.4
	1972	218	23,191	940.0
	1973	200	23,487	851.5
	1974	189	23,207	814.4
	1975	215	23,238	925.2
	1976	193	23,241	830.4
	1977	196	23,152	846.6
	1978	200	22,935	872.0
	Total	2,149	250,065	859.4
Santa Fe County, NM (35049)	1968	383	52,276	732.6
	1969	407	53,706	757.8
	1970	402	54,895	732.3
	1971	410	56,982	719.5
	1972	434	59,239	732.6
	1973	441	61,265	719.8
	1974	431	63,287	681.0
	1975	437	65,873	663.4
	1976	409	69,121	591.7
	1977	392	71,628	547.3
	1978	408	72,741	560.9
	Total	4,554	681,013	668.7
Sierra County, NM (35051)	1968	143	6,975	2,050.2
	1969	157	7,097	2,212.2
	1970	143	7,163	1,996.4
	1971	134	7,345	1,824.4
	1972	162	8,018	2,020.5
	1973	150	7,959	1,884.7
