
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Albany County, WY (56001)	1968	161	26,491	607.8
	1969	167	26,468	631.0
	1970	142	26,592	534.0
	1971	201	26,598	755.7
	1972	164	26,742	613.3
	1973	170	26,744	635.7
	1974	162	27,215	595.3
	1975	136	26,904	505.5
	1976	160	27,570	580.3
	1977	169	27,970	604.2
	1978	162	28,185	574.8
	Total	1,794	297,479	603.1
Big Horn County, WY (56003)	1968	91	9,870	922.0
	1969	82	10,046	816.2
	1970	120	10,221	1,174.1
	1971	107	10,505	1,018.6
	1972	114	10,418	1,094.3
	1973	88	10,620	828.6
	1974	103	10,606	971.1
	1975	96	10,914	879.6
	1976	105	11,302	929.0
	1977	106	11,465	924.6
	1978	121	11,653	1,038.4
	Total	1,133	117,620	963.3
Campbell County, WY (56005)	1968	58	12,179	476.2
	1969	83	12,579	659.8
	1970	79	12,981	608.6
	1971	83	13,455	616.9
	1972	84	11,930	704.1
	1973	60	12,479	480.8
	1974	75	12,409	604.4
	1975	86	13,733	626.2
	1976	79	15,334	515.2
	1977	93	17,878	520.2
	1978	78	20,232	385.5
	Total	858	155,189	552.9
Carbon County, WY (56007)	1968	152	12,654	1,201.2
	1969	123	13,051	942.5
	1970	144	13,359	1,077.9
	1971	152	14,009	1,085.0
	1972	156	14,563	1,071.2
	1973	156	15,461	1,009.0
	1974	163	16,179	1,007.5
	1975	143	16,859	848.2
	1976	140	17,274	810.5
	1977	142	18,194	780.5
	1978	167	19,233	868.3
	Total	1,638	170,836	958.8
Converse County, WY (56009)	1968	63	5,250	1,200.0
	1969	61	5,645	1,080.6
	1970	69	5,949	1,159.9
	1971	80	6,560	1,219.5
	1972	62	6,562	944.8
	1973	71	6,639	1,069.4
	1974	64	6,903	927.1
	1975	86	7,724	1,113.4
	1976	86	8,847	972.1
	1977	80	9,968	802.6
	1978	84	11,425	735.2
	Total	806	81,472	989.3
Crook County, WY (56011)	1968	33	4,620	714.3
	1969	45	4,571	984.5
	1970	41	4,533	904.5
	1971	39	4,495	867.6
	1972	32	4,552	703.0
	1973	36	4,497	800.5
	1974	34	4,505	754.7
	1975	41	4,720	868.6
	1976	41	4,895	837.6
	1977	32	5,026	636.7
	1978	43	5,259	817.6
	Total	417	51,673	807.0
Fremont County, WY (56013)	1968	230	28,070	819.4
	1969	250	28,202	886.5
	1970	223	28,425	784.5
	1971	217	28,702	756.0
	1972	236	30,084	784.5
	1973	246	30,092	817.5
	1974	229	30,886	741.4
	1975	261	31,592	826.2
	1976	249	32,507	766.0
	1977	234	34,211	684.0
	1978	222	36,218	613.0
	Total	2,597	338,989	766.1
Goshen County, WY (56015)	1968	104	10,700	972.0
	1969	111	10,792	1,028.5
	1970	122	10,886	1,120.7
	1971	103	11,079	929.7
	1972	132	11,107	1,188.4
	1973	116	11,257	1,030.5
	1974	112	11,412	981.4
	1975	106	11,730	903.7
	1976	121	12,221	990.1
	1977	102	12,101	842.9
	1978	106	11,888	891.7
	Total	1,235	125,173	986.6
Hot Springs County, WY (56017)	1968	67	4,485	1,493.9
	1969	67	4,745	1,412.0
	1970	80	4,964	1,611.6
	1971	82	5,329	1,538.8
	1972	100	5,083	1,967.3
	1973	71	5,007	1,418.0
	1974	87	4,860	1,790.1
	1975	66	4,949	1,333.6
