
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Adair County, KY (21001)	1968	177	12,443	1,422.5
	1969	160	12,707	1,259.1
	1970	159	13,034	1,219.9
	1971	154	13,619	1,130.8
	1972	188	14,353	1,309.8
	1973	154	14,439	1,066.6
	1974	159	14,564	1,091.7
	1975	189	14,655	1,289.7
	1976	177	14,786	1,197.1
	1977	163	15,071	1,081.5
	1978	149	15,050	990.0
	Total	1,829	154,721	1,182.1
Allen County, KY (21003)	1968	186	12,184	1,526.6
	1969	175	12,401	1,411.2
	1970	176	12,587	1,398.3
	1971	180	12,920	1,393.2
	1972	178	12,954	1,374.1
	1973	176	13,171	1,336.3
	1974	171	13,463	1,270.1
	1975	185	13,672	1,353.1
	1976	175	13,575	1,289.1
	1977	161	13,607	1,183.2
	1978	161	13,686	1,176.4
	Total	1,924	144,220	1,334.1
Anderson County, KY (21005)	1968	87	8,531	1,019.8
	1969	98	8,973	1,092.2
	1970	99	9,361	1,057.6
	1971	106	10,007	1,059.3
	1972	92	10,150	906.4
	1973	87	10,208	852.3
	1974	99	10,475	945.1
	1975	109	10,734	1,015.5
	1976	93	11,053	841.4
	1977	99	11,416	867.2
	1978	106	11,606	913.3
	Total	1,075	112,514	955.4
Ballard County, KY (21007)	1968	109	7,697	1,416.1
	1969	118	8,024	1,470.6
	1970	115	8,274	1,389.9
	1971	131	8,776	1,492.7
	1972	116	8,738	1,327.5
	1973	116	8,408	1,379.6
	1974	120	8,296	1,446.5
	1975	120	8,299	1,446.0
	1976	115	8,484	1,355.5
	1977	118	8,555	1,379.3
	1978	113	8,780	1,287.0
	Total	1,291	92,331	1,398.2
Barren County, KY (21009)	1968	294	27,284	1,077.6
	1969	354	28,005	1,264.1
	1970	340	28,725	1,183.6
	1971	316	29,873	1,057.8
	1972	334	30,057	1,111.2
	1973	355	30,777	1,153.5
	1974	353	31,271	1,128.8
	1975	324	31,891	1,016.0
	1976	305	32,304	944.2
	1977	320	32,985	970.1
	1978	364	33,270	1,094.1
	Total	3,659	336,442	1,087.6
Bath County, KY (21011)	1968	105	8,991	1,167.8
	1969	119	9,156	1,299.7
	1970	115	9,248	1,243.5
	1971	112	9,395	1,192.1
	1972	118	9,519	1,239.6
	1973	120	9,563	1,254.8
	1974	103	9,636	1,068.9
	1975	97	9,755	994.4
	1976	112	9,645	1,161.2
	1977	107	9,696	1,103.5
	1978	89	9,869	901.8
	Total	1,197	104,473	1,145.8
Bell County, KY (21013)	1968	411	30,237	1,359.3
	1969	408	30,751	1,326.8
	1970	401	31,203	1,285.1
	1971	431	32,021	1,346.0
	1972	400	32,452	1,232.6
	1973	402	33,086	1,215.0
	1974	379	33,070	1,146.1
	1975	400	33,704	1,186.8
	1976	392	34,522	1,135.5
	1977	368	34,530	1,065.7
	1978	388	34,489	1,125.0
	Total	4,380	360,065	1,216.4
Boone County, KY (21015)	1968	245	31,070	788.5
	1969	221	32,026	690.1
	1970	225	32,859	684.7
	1971	245	34,180	716.8
	1972	206	34,509	596.9
	1973	269	35,819	751.0
	1974	238	37,150	640.6
	1975	244	38,273	637.5
	1976	261	39,596	659.2
	1977	299	41,464	721.1
	1978	293	43,152	679.0
	Total	2,746	400,098	686.3
Bourbon County, KY (21017)	1968	231	18,154	1,272.4
	1969	217	18,338	1,183.3
	1970	203	18,477	1,098.7
	1971	201	18,719	1,073.8
	1972	230	18,665	1,232.3
	1973	197	18,954	1,039.4
	1974	218	18,876	1,154.9
	1975	210	18,932	1,109.2
	1976	185	18,861	980.9
	1977	178	19,015	936.1
	1978	213	19,261	1,105.9
	Total	2,283	206,252	1,106.9
Boyd County, KY (21019)	1968	491	51,885	946.3
	1969	543	52,151	1,041.2
	1970	509	52,508	969.4
	1971	519	52,941	980.3
	1972	600	53,116	1,129.6
	1973	559	52,372	1,067.4
	1974	555	52,270	1,061.8
	1975	567	52,985	1,070.1
	1976	531	53,154	999.0
	1977	583	54,100	1,077.6
	1978	543	55,421	979.8
	Total	6,000	582,903	1,029.3
Boyle County, KY (21021)	1968	248	20,916	1,185.7
	1969	234	21,451	1,090.9
	1970	248	21,906	1,132.1
	1971	266	22,729	1,170.3
	1972	220	22,926	959.6
	1973	274	22,943	1,194.3
	1974	245	22,925	1,068.7
	1975	218	23,533	926.4
	1976	241	24,176	996.9
	1977	215	24,451	879.3
	1978	259	24,824	1,043.3
	Total	2,668	252,780	1,055.5
Bracken County, KY (21023)	1968	98	7,027	1,394.6
	1969	115	7,136	1,611.5
	1970	95	7,257	1,309.1
	1971	112	7,385	1,516.6
	1972	114	7,549	1,510.1
	1973	102	7,566	1,348.1
	1974	121	7,695	1,572.4
	1975	109	7,576	1,438.8
	1976	96	7,727	1,242.4
	1977	120	7,830	1,532.6
	1978	94	7,764	1,210.7
	Total	1,176	82,512	1,425.2
Breathitt County, KY (21025)	1968	122	14,096	865.5
	1969	146	14,187	1,029.1
	1970	142	14,236	997.5
	1971	107	14,393	743.4
	1972	152	14,805	1,026.7
	1973	141	14,940	943.8
	1974	156	15,077	1,034.7
	1975	137	15,654	875.2
	1976	111	16,383	677.5
	1977	127	16,892	751.8
	1978	130	16,833	772.3
	Total	1,471	167,496	878.2
Breckinridge County, KY (21027)	1968	195	14,327	1,361.1
	1969	195	14,587	1,336.8
	1970	195	14,810	1,316.7
	1971	201	15,195	1,322.8
	1972	184	15,352	1,198.5
	1973	177	15,320	1,155.4
	1974	170	15,558	1,092.7
	1975	191	15,723	1,214.8
	1976	170	16,242	1,046.7
	1977	168	16,678	1,007.3
	1978	175	16,690	1,048.5
	Total	2,021	170,482	1,185.5
Bullitt County, KY (21029)	1968	162	23,356	693.6
	1969	135	24,804	544.3
	1970	169	26,054	648.7
	1971	167	28,300	590.1
	1972	194	30,072	645.1
	1973	196	30,964	633.0
	1974	163	33,098	492.5
	1975	151	34,444	438.4
	1976	198	36,625	540.6
	1977	194	38,830	499.6
	1978	224	41,068	545.4
	Total	1,953	347,615	561.8
Butler County, KY (21031)	1968	136	9,409	1,445.4
	1969	118	9,627	1,225.7
	1970	125	9,723	1,285.6
	1971	117	9,980	1,172.3
	1972	150	10,107	1,484.1
	1973	127	10,414	1,219.5
	1974	133	10,377	1,281.7
	1975	126	10,468	1,203.7
	1976	135	10,804	1,249.5
	1977	129	11,134	1,158.6
	1978	123	11,104	1,107.7
	Total	1,419	113,147	1,254.1
Caldwell County, KY (21033)	1968	211	13,076	1,613.6
	1969	203	13,123	1,546.9
	1970	193	13,234	1,458.4
	1971	210	13,270	1,582.5
	1972	182	13,036	1,396.1
	1973	204	13,142	1,552.3
	1974	194	13,124	1,478.2
	1975	209	13,398	1,559.9
	1976	177	13,307	1,330.1
