
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Arkansas County, AR (05001)	1968	241	23,495	1,025.8
	1969	279	23,442	1,190.2
	1970	258	23,479	1,098.9
	1971	268	23,351	1,147.7
	1972	300	23,178	1,294.3
	1973	288	23,594	1,220.6
	1974	296	23,724	1,247.7
	1975	294	23,894	1,230.4
	1976	292	24,237	1,204.8
	1977	230	23,945	960.5
	1978	295	24,438	1,207.1
	Total	3,041	260,777	1,166.1
Ashley County, AR (05003)	1968	223	24,459	911.7
	1969	220	24,730	889.6
	1970	245	24,961	981.5
	1971	265	25,469	1,040.5
	1972	248	25,625	967.8
	1973	258	25,442	1,014.1
	1974	252	25,417	991.5
	1975	265	25,828	1,026.0
	1976	230	26,176	878.7
	1977	226	26,618	849.0
	1978	223	26,950	827.5
	Total	2,655	281,675	942.6
Baxter County, AR (05005)	1968	191	13,846	1,379.5
	1969	205	14,656	1,398.7
	1970	237	15,372	1,541.8
	1971	255	16,588	1,537.3
	1972	260	18,155	1,432.1
	1973	258	19,859	1,299.2
	1974	294	21,334	1,378.1
	1975	300	22,753	1,318.5
	1976	316	24,487	1,290.5
	1977	314	26,147	1,200.9
	1978	326	26,448	1,232.6
	Total	2,956	219,645	1,345.8
Benton County, AR (05007)	1968	574	46,864	1,224.8
	1969	571	48,821	1,169.6
	1970	635	50,603	1,254.9
	1971	620	53,565	1,157.5
	1972	720	57,142	1,260.0
	1973	660	59,601	1,107.4
	1974	656	62,161	1,055.3
	1975	664	63,139	1,051.6
	1976	659	66,628	989.1
	1977	694	70,680	981.9
	1978	636	73,468	865.7
	Total	7,089	652,672	1,086.2
Boone County, AR (05009)	1968	211	18,919	1,115.3
	1969	206	19,064	1,080.6
	1970	229	19,086	1,199.8
	1971	219	19,266	1,136.7
	1972	222	20,200	1,099.0
	1973	234	20,973	1,115.7
	1974	256	21,637	1,183.2
	1975	279	22,780	1,224.8
	1976	249	23,055	1,080.0
	1977	251	23,667	1,060.5
	1978	302	24,315	1,242.0
	Total	2,658	232,962	1,141.0
Bradley County, AR (05011)	1968	147	12,398	1,185.7
	1969	172	12,614	1,363.6
	1970	158	12,781	1,236.2
	1971	180	13,077	1,376.5
	1972	176	13,231	1,330.2
	1973	163	13,285	1,226.9
	1974	179	13,226	1,353.4
	1975	200	13,234	1,511.3
	1976	173	13,686	1,264.1
	1977	165	13,759	1,199.2
	1978	169	13,949	1,211.6
	Total	1,882	145,240	1,295.8
Calhoun County, AR (05013)	1968	70	5,657	1,237.4
	1969	73	5,607	1,301.9
	1970	84	5,567	1,508.9
	1971	75	5,525	1,357.5
	1972	70	5,537	1,264.2
	1973	71	5,565	1,275.8
	1974	83	5,664	1,465.4
	1975	62	5,875	1,055.3
	1976	59	5,675	1,039.6
	1977	85	5,683	1,495.7
	1978	56	5,799	965.7
	Total	788	62,154	1,267.8
Carroll County, AR (05015)	1968	170	11,971	1,420.1
	1969	204	12,137	1,680.8
	1970	171	12,315	1,388.6
	1971	163	12,568	1,296.9
	1972	194	13,310	1,457.6
	1973	190	13,844	1,372.4
	1974	203	14,375	1,412.2
	1975	169	14,562	1,160.6
	1976	188	14,984	1,254.7
	1977	176	15,233	1,155.4
	1978	188	15,473	1,215.0
	Total	2,016	150,772	1,337.1
Chicot County, AR (05017)	1968	289	18,853	1,532.9
	1969	241	18,437	1,307.2
	1970	207	18,138	1,141.3
	1971	240	17,763	1,351.1
	1972	242	17,251	1,402.8
	1973	231	18,063	1,278.9
	1974	249	18,261	1,363.6
	1975	190	18,057	1,052.2
	1976	202	18,076	1,117.5
	1977	246	17,805	1,381.6
	1978	217	17,888	1,213.1
	Total	2,554	198,592	1,286.1
Clark County, AR (05019)	1968	226	21,130	1,069.6
	1969	245	21,369	1,146.5
	1970	225	21,596	1,041.9
	1971	237	21,937	1,080.4
	1972	228	21,602	1,055.5
	1973	262	22,209	1,179.7
	1974	199	21,742	915.3
