
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Fairfield County, CT (09001)	1968	6,812	793,635	858.3
	1969	6,781	791,885	856.3
	1970	6,692	792,649	844.3
	1971	6,672	791,631	842.8
	1972	6,666	786,079	848.0
	1973	6,765	784,862	861.9
	1974	6,482	787,067	823.6
	1975	6,651	793,818	837.8
	1976	6,656	796,972	835.2
	1977	6,569	810,372	810.6
	1978	6,670	802,712	830.9
	Total	73,416	8,731,682	840.8
Hartford County, CT (09003)	1968	7,091	808,003	877.6
	1969	6,901	812,203	849.7
	1970	6,844	816,853	837.8
	1971	6,840	823,207	830.9
	1972	7,022	819,254	857.1
	1973	7,062	816,990	864.4
	1974	6,872	816,768	841.4
	1975	6,677	813,239	821.0
	1976	6,938	809,975	856.6
	1977	6,665	806,180	826.7
	1978	6,769	806,244	839.6
	Total	75,681	8,948,916	845.7
Litchfield County, CT (09005)	1968	1,400	142,530	982.2
	1969	1,370	143,161	957.0
	1970	1,341	143,991	931.3
	1971	1,383	144,740	955.5
	1972	1,406	145,440	966.7
	1973	1,377	146,613	939.2
	1974	1,491	145,802	1,022.6
	1975	1,333	148,345	898.6
	1976	1,375	149,886	917.4
	1977	1,415	148,956	949.9
	1978	1,442	153,619	938.7
	Total	15,333	1,613,083	950.5
Middlesex County, CT (09007)	1968	971	112,313	864.5
	1969	949	113,726	834.5
	1970	971	114,977	844.5
	1971	940	116,950	803.8
	1972	1,054	119,209	884.2
	1973	1,059	121,682	870.3
	1974	1,034	123,774	835.4
	1975	1,021	124,661	819.0
	1976	971	125,110	776.1
	1977	992	124,622	796.0
	1978	1,056	126,582	834.2
	Total	11,018	1,323,606	832.4
New Haven County, CT (09009)	1968	7,140	730,311	977.7
	1969	6,922	737,664	938.4
	1970	6,863	744,879	921.4
	1971	6,979	756,115	923.0
	1972	6,934	756,329	916.8
	1973	7,068	754,868	936.3
	1974	6,926	757,945	913.8
	1975	6,788	758,432	895.0
	1976	6,877	757,808	907.5
	1977	6,723	757,637	887.4
	1978	6,854	757,332	905.0
	Total	76,074	8,269,320	920.0
New London County, CT (09011)	1968	1,896	226,692	836.4
	1969	1,854	228,786	810.4
	1970	1,787	230,731	774.5
	1971	1,961	233,693	839.1
	1972	1,884	238,233	790.8
	1973	1,940	237,594	816.5
	1974	1,912	237,953	803.5
	1975	1,863	241,324	772.0
	1976	1,887	241,774	780.5
	1977	1,841	241,455	762.5
	1978	1,863	242,923	766.9
	Total	20,688	2,601,158	795.3
Tolland County, CT (09013)	1968	616	100,681	611.8
	1969	573	102,136	561.0
	1970	624	103,468	603.1
	1971	547	105,326	519.3
	1972	586	109,769	533.8
	1973	595	110,436	538.8
	1974	594	111,828	531.2
	1975	588	111,388	527.9
	1976	584	111,637	523.1
	1977	576	110,035	523.5
	1978	600	114,045	526.1
	Total	6,483	1,190,749	544.4
Windham County, CT (09015)	1968	864	82,720	1,044.5
	1969	872	83,666	1,042.2
	1970	817	84,470	967.2
	1971	817	85,898	951.1
	1972	798	87,583	911.1
	1973	848	88,660	956.5
	1974	818	88,875	920.4
	1975	819	89,319	916.9
	1976	840	90,310	930.1
	1977	857	88,893	964.1
	1978	824	91,730	898.3
	Total	9,174	962,124	953.5
Total		287,867	33,640,638	855.7
