
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Entire State, AK (02900)	1968	1,349	287,504	469.2
	1969	1,303	295,940	440.3
	1970	1,438	303,679	473.5
	1971	1,474	317,012	465.0
	1972	1,440	326,586	440.9
	1973	1,459	332,940	438.2
	1974	1,489	344,834	431.8
	1975	1,529	371,084	412.0
	1976	1,623	393,479	412.5
	1977	1,615	398,155	405.6
	1978	1,690	403,301	419.0
	Total	16,409	3,774,514	434.7
Total		16,409	3,774,514	434.7
