
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Ada County, ID (16001)	1968	914	105,394	867.2
	1969	908	109,216	831.4
	1970	1,034	112,454	919.5
	1971	902	117,921	764.9
	1972	926	123,187	751.7
	1973	993	129,694	765.6
	1974	1,016	135,441	750.1
	1975	1,043	140,980	739.8
	1976	1,036	147,338	703.1
	1977	1,030	154,854	665.1
	1978	1,016	162,454	625.4
	Total	10,818	1,438,933	751.8
Adams County, ID (16003)	1968	28	2,891	968.5
	1969	24	2,886	831.6
	1970	26	2,899	896.9
	1971	29	2,879	1,007.3
	1972	30	3,021	993.0
	1973	22	3,093	711.3
	1974	21	3,199	656.5
	1975	16	3,170	504.7 (Unreliable)
	1976	21	3,082	681.4
	1977	26	3,272	794.6
	1978	20	3,353	596.5
	Total	263	33,745	779.4
Bannock County, ID (16005)	1968	351	51,164	686.0
	1969	409	51,758	790.2
	1970	372	52,376	710.2
	1971	415	53,366	777.6
	1972	376	54,269	692.8
	1973	442	54,606	809.4
	1974	390	56,305	692.7
	1975	427	57,298	745.2
	1976	413	60,377	684.0
	1977	386	62,646	616.2
	1978	408	64,127	636.2
	Total	4,389	618,292	709.9
Bear Lake County, ID (16007)	1968	57	5,836	976.7
	1969	54	5,813	929.0
	1970	49	5,780	847.8
	1971	64	5,808	1,101.9
	1972	64	5,679	1,127.0
	1973	55	5,783	951.1
	1974	62	5,840	1,061.6
	1975	55	6,283	875.4
	1976	75	6,671	1,124.3
	1977	79	6,824	1,157.7
	1978	63	6,792	927.6
	Total	677	67,109	1,008.8
Benewah County, ID (16009)	1968	70	5,965	1,173.5
	1969	57	6,111	932.7
	1970	74	6,267	1,180.8
	1971	70	6,435	1,087.8
	1972	66	6,579	1,003.2
	1973	62	6,575	943.0
	1974	77	6,953	1,107.4
	1975	66	7,054	935.6
	1976	71	7,447	953.4
	1977	84	7,604	1,104.7
	1978	74	7,751	954.7
	Total	771	74,741	1,031.6
Bingham County, ID (16011)	1968	217	28,731	755.3
	1969	225	28,969	776.7
	1970	228	29,195	781.0
	1971	229	29,634	772.8
	1972	236	30,381	776.8
	1973	239	30,478	784.2
	1974	236	31,399	751.6
	1975	218	32,124	678.6
	1976	227	33,456	678.5
	1977	206	34,580	595.7
	1978	243	36,065	673.8
	Total	2,504	345,012	725.8
Blaine County, ID (16013)	1968	37	5,310	696.8
	1969	50	5,551	900.7
	1970	60	5,744	1,044.6
	1971	58	6,191	936.8
	1972	50	6,612	756.2
	1973	52	7,263	716.0
	1974	48	7,763	618.3
	1975	39	8,474	460.2
	1976	52	8,826	589.2
	1977	43	9,344	460.2
	1978	43	8,763	490.7
	Total	532	79,841	666.3
Boise County, ID (16015)	1968	14	1,526	917.4 (Unreliable)
	1969	14	1,654	846.4 (Unreliable)
	1970	14	1,783	785.2 (Unreliable)
	1971	18	1,967	915.1 (Unreliable)
	1972	4	1,988	201.2 (Unreliable)
	1973	27	2,085	1,295.0
	1974	15	2,275	659.3 (Unreliable)
	1975	10	2,206	453.3 (Unreliable)
	1976	15	2,337	641.8 (Unreliable)
	1977	27	2,354	1,147.0
	1978	10	2,648	377.6 (Unreliable)
	Total	168	22,823	736.1
Bonner County, ID (16017)	1968	174	15,165	1,147.4
	1969	164	15,338	1,069.2
	1970	151	15,564	970.2
	1971	161	15,933	1,010.5
	1972	164	16,762	978.4
	1973	179	17,467	1,024.8
	1974	178	18,448	964.9
	1975	174	19,521	891.3
	1976	196	20,062	977.0
	1977	178	21,285	836.3
	1978	168	22,624	742.6
	Total	1,887	198,169	952.2
Bonneville County, ID (16019)	1968	318	52,397	606.9
	1969	323	52,354	617.0
	1970	292	52,619	554.9
	1971	337	52,804	638.2
	1972	308	54,717	562.9
	1973	314	55,120	569.7
	1974	378	57,714	655.0
	1975	359	59,151	606.9
	1976	354	60,526	584.9
	1977	330	62,799	525.5
	1978	368	65,006	566.1
	Total	3,681	625,207	588.8
Boundary County, ID (16021)	1968	74	4,718	1,568.5
	1969	76	5,138	1,479.2
	1970	59	5,487	1,075.3
	1971	54	6,171	875.1
	1972	54	5,983	902.6
	1973	49	6,512	752.5
	1974	57	6,777	841.1
	1975	60	6,647	902.7
	1976	46	6,716	684.9
	1977	50	6,669	749.7
	1978	47	6,981	673.3
	Total	626	67,799	923.3
Butte County, ID (16023)	1968	28	3,055	916.5
	1969	26	2,975	873.9
	1970	22	2,936	749.3
	1971	20	2,849	702.0
	1972	26	2,963	877.5
	1973	24	3,029	792.3
	1974	26	3,126	831.7
	1975	24	3,032	791.6
	1976	20	3,182	628.5
	1977	27	3,137	860.7
	1978	28	3,261	858.6
	Total	271	33,545	807.9
Camas County, ID (16025)	1968	10	820	1,219.5 (Unreliable)
	1969	8	773	1,034.9 (Unreliable)
	1970	7	732	956.3 (Unreliable)
	1971	10	687	1,455.6 (Unreliable)
	1972	8	703	1,138.0 (Unreliable)
	1973	9	766	1,174.9 (Unreliable)
	1974	6	769	780.2 (Unreliable)
	1975	7	782	895.1 (Unreliable)
	1976	3	754	397.9 (Unreliable)
	1977	4	710	563.4 (Unreliable)
	1978	5	718	696.4 (Unreliable)
	Total	77	8,214	937.4
Canyon County, ID (16027)	1968	594	55,471	1,070.8
	1969	573	58,747	975.4
	1970	589	61,544	957.0
	1971	611	66,327	921.2
	1972	604	69,254	872.2
	1973	599	70,723	847.0
	1974	637	74,139	859.2
	1975	632	75,052	842.1
	1976	652	77,776	838.3
	1977	658	80,035	822.1
	1978	659	82,794	796.0
	Total	6,808	771,862	882.0
Caribou County, ID (16029)	1968	38	6,598	575.9
	1969	36	6,544	550.1
	1970	43	6,539	657.6
	1971	45	6,483	694.1
	1972	42	6,186	679.0
	1973	56	6,438	869.8
	1974	50	6,922	722.3
	1975	50	7,812	640.0
	1976	42	8,224	510.7
	1977	46	8,416	546.6
	1978	43	8,533	503.9
	Total	491	78,695	623.9
Cassia County, ID (16031)	1968	148	16,703	886.1
	1969	127	16,855	753.5
	1970	132	17,067	773.4
	1971	150	17,344	864.9
	1972	136	17,511	776.7
	1973	112	17,850	627.5
	1974	132	18,054	731.1
	1975	153	18,600	822.6
	1976	145	19,148	757.3
	1977	125	19,224	650.2
	1978	145	19,238	753.7
	Total	1,505	197,594	761.7
Clark County, ID (16033)	1968	3	718	417.8 (Unreliable)
	1969	6	738	813.0 (Unreliable)
	1970	5	742	673.9 (Unreliable)
	1971	5	753	664.0 (Unreliable)
	1972	4	727	550.2 (Unreliable)
	1973	3	836	358.9 (Unreliable)
	1974	6	865	693.6 (Unreliable)
	1975	9	895	1,005.6 (Unreliable)
	1976	6	883	679.5 (Unreliable)
	1977	3	871	344.4 (Unreliable)
	1978	6	800	750.0 (Unreliable)
	Total	56	8,828	634.3
Clearwater County, ID (16035)	1968	67	10,609	631.5
	1969	87	10,732	810.7
	1970	86	10,885	790.1
	1971	98	11,067	885.5
	1972	98	11,067	885.5
	1973	76	10,432	728.5
	1974	65	10,117	642.5
	1975	61	9,977	611.4
	1976	64	10,038	637.6
	1977	61	10,283	593.2
	1978	74	10,289	719.2
	Total	837	115,496	724.7
Custer County, ID (16037)	1968	27	2,819	957.8
	1969	23	2,904	792.0
	1970	32	2,960	1,081.1
	1971	30	3,057	981.4
	1972	22	2,998	733.8
	1973	32	3,056	1,047.1
	1974	30	3,188	941.0
	1975	30	3,181	943.1
	1976	29	3,249	892.6
	1977	30	3,139	955.7
	1978	20	3,220	621.1
	Total	305	33,771	903.1
Elmore County, ID (16039)	1968	79	16,152	489.1
	1969	109	16,988	641.6
	1970	91	17,590	517.3
	1971	95	18,723	507.4
	1972	106	18,913	560.5
	1973	87	19,680	442.1
	1974	89	20,424	435.8
	1975	92	20,030	459.3
	1976	97	21,116	459.4
	1977	107	21,530	497.0
	1978	88	22,454	391.9
	Total	1,040	213,600	486.9
Franklin County, ID (16041)	1968	57	7,368	773.6
	1969	71	7,359	964.8
	1970	71	7,365	964.0
	1971	65	7,392	879.3
	1972	68	7,339	926.6
	1973	70	7,432	941.9
	1974	85	7,619	1,115.6
	1975	72	7,960	904.5
	1976	70	8,226	851.0
	1977	75	8,442	888.4
	1978	81	8,674	933.8
	Total	785	85,176	921.6
Fremont County, ID (16043)	1968	62	8,413	737.0
	1969	67	8,601	779.0
	1970	78	8,709	895.6
	1971	62	8,971	691.1
	1972	98	8,999	1,089.0
	1973	85	9,359	908.2
	1974	74	9,604	770.5
	1975	76	10,011	759.2
	1976	87	10,282	846.1
	1977	78	10,602	735.7
	1978	66	10,969	601.7
	Total	833	104,520	797.0
Gem County, ID (16045)	1968	94	8,960	1,049.1
	1969	94	9,165	1,025.6
	1970	80	9,411	850.1
	1971	113	9,752	1,158.7
	1972	102	10,103	1,009.6
	1973	104	10,172	1,022.4
	1974	102	10,584	963.7
	1975	117	10,662	1,097.4
	1976	111	10,906	1,017.8
	1977	98	11,097	883.1
	1978	111	11,286	983.5
	Total	1,126	112,098	1,004.5
Gooding County, ID (16047)	1968	120	8,014	1,497.4
	1969	96	8,344	1,150.5
	1970	114	8,666	1,315.5
	1971	101	9,177	1,100.6
	1972	100	9,390	1,065.0
	1973	110	9,614	1,144.2
	1974	118	10,348	1,140.3
	1975	110	10,876	1,011.4
	1976	115	11,259	1,021.4
	1977	130	11,580	1,122.6
	1978	97	11,598	836.4
	Total	1,211	108,866	1,112.4
Idaho County, ID (16049)	1968	120	12,475	961.9
	1969	114	12,683	898.8
	1970	122	12,901	945.7
	1971	122	13,240	921.5
	1972	128	12,911	991.4
	1973	123	12,857	956.7
	1974	114	12,924	882.1
	1975	118	13,037	905.1
	1976	131	13,349	981.3
	1977	119	13,610	874.4
	1978	119	14,093	844.4
	Total	1,330	144,080	923.1
Jefferson County, ID (16051)	1968	94	11,815	795.6
	1969	79	11,750	672.3
	1970	83	11,759	705.8
	1971	86	11,711	734.4
	1972	94	11,990	784.0
	1973	87	12,204	712.9
	1974	92	12,538	733.8
	1975	96	13,274	723.2
	1976	92	13,666	673.2
	1977	98	14,163	691.9
	1978	113	14,836	761.7
	Total	1,014	139,706	725.8
Jerome County, ID (16053)	1968	89	9,604	926.7
	1969	118	9,969	1,183.7
	1970	87	10,273	846.9
	1971	103	10,890	945.8
	1972	100	11,478	871.2
	1973	113	11,842	954.2
	1974	94	12,754	737.0
	1975	119	13,558	877.7
	1976	98	13,798	710.2
	1977	113	13,996	807.4
	1978	97	14,182	684.0
	Total	1,131	132,344	854.6
Kootenai County, ID (16055)	1968	357	33,708	1,059.1
	1969	397	34,569	1,148.4
	1970	346	35,386	977.8
	1971	383	36,674	1,044.3
	1972	410	39,160	1,047.0
	1973	410	42,519	964.3
	1974	386	44,569	866.1
	1975	407	47,356	859.4
	1976	448	48,820	917.7
	1977	390	51,685	754.6
	1978	451	55,470	813.1
	Total	4,385	469,916	933.1
Latah County, ID (16057)	1968	161	23,191	694.2
