
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Albany County, NY (36001)	1968	3,229	285,353	1,131.6
	1969	3,177	285,892	1,111.3
	1970	3,250	286,888	1,132.8
	1971	3,122	288,447	1,082.3
	1972	3,132	289,791	1,080.8
	1973	3,242	289,228	1,120.9
	1974	3,134	288,637	1,085.8
	1975	2,894	287,685	1,006.0
	1976	2,961	286,462	1,033.6
	1977	2,843	286,191	993.4
	1978	2,916	287,042	1,015.9
	Total	33,900	3,161,616	1,072.2
Allegany County, NY (36003)	1968	483	44,440	1,086.9
	1969	493	45,577	1,081.7
	1970	484	46,518	1,040.5
	1971	453	48,089	942.0
	1972	470	49,891	942.1
	1973	466	50,183	928.6
	1974	440	50,487	871.5
	1975	429	51,369	835.1
	1976	429	51,813	828.0
	1977	443	52,143	849.6
	1978	427	52,216	817.8
	Total	5,017	542,726	924.4
Bronx County, NY (36005)	1968	16,472	1,471,265	1,119.6
	1969	16,019	1,471,894	1,088.3
	1970	15,952	1,474,086	1,082.2
	1971	15,559	1,477,300	1,053.2
	1972	15,460	1,470,447	1,051.4
	1973	14,678	1,416,381	1,036.3
	1974	13,870	1,380,132	1,005.0
	1975	13,455	1,347,346	998.6
	1976	13,436	1,314,507	1,022.1
	1977	12,906	1,266,837	1,018.8
	1978	12,643	1,221,830	1,034.8
	Total	160,450	15,312,025	1,047.9
Broome County, NY (36007)	1968	2,150	220,872	973.4
	1969	2,092	221,099	946.2
	1970	2,067	222,141	930.5
	1971	2,072	222,861	929.7
	1972	2,040	219,175	930.8
	1973	2,131	219,123	972.5
	1974	2,001	217,743	919.0
	1975	1,978	219,864	899.6
	1976	2,058	219,708	936.7
	1977	1,980	219,044	903.9
	1978	2,044	217,855	938.2
	Total	22,613	2,419,485	934.6
Cattaraugus County, NY (36009)	1968	866	78,490	1,103.3
	1969	909	80,244	1,132.8
	1970	862	81,771	1,054.2
	1971	930	84,198	1,104.5
	1972	868	86,065	1,008.5
	1973	854	84,203	1,014.2
	1974	907	83,827	1,082.0
	1975	881	84,843	1,038.4
	1976	877	85,468	1,026.1
	1977	908	85,617	1,060.5
	1978	880	85,820	1,025.4
	Total	9,742	920,546	1,058.3
Cayuga County, NY (36011)	1968	844	75,646	1,115.7
	1969	895	76,581	1,168.7
	1970	852	77,481	1,099.6
	1971	863	78,870	1,094.2
	1972	850	79,138	1,074.1
	1973	841	78,907	1,065.8
	1974	817	79,188	1,031.7
	1975	732	79,121	925.2
	1976	810	80,297	1,008.8
	1977	757	80,863	936.2
	1978	757	80,940	935.3
	Total	9,018	867,032	1,040.1
Chautauqua County, NY (36013)	1968	1,853	143,979	1,287.0
	1969	1,839	145,707	1,262.1
	1970	1,691	147,540	1,146.1
	1971	1,766	150,036	1,177.1
	1972	1,796	151,322	1,186.9
	1973	1,662	149,453	1,112.1
	1974	1,569	148,476	1,056.7
	1975	1,598	148,890	1,073.3
	1976	1,568	148,781	1,053.9
	1977	1,530	148,932	1,027.3
	1978	1,498	147,813	1,013.4
	Total	18,370	1,630,929	1,126.4
Chemung County, NY (36015)	1968	1,081	102,504	1,054.6
	1969	1,085	101,867	1,065.1
	1970	1,100	101,625	1,082.4
	1971	1,064	101,034	1,053.1
	1972	1,134	101,455	1,117.7
	1973	1,005	100,229	1,002.7
	1974	994	99,869	995.3
	1975	958	100,405	954.1
	1976	934	100,008	933.9
	1977	953	99,321	959.5
	1978	1,043	98,688	1,056.9
	Total	11,351	1,107,005	1,025.4
Chenango County, NY (36017)	1968	501	46,150	1,085.6
	1969	525	46,277	1,134.5
	1970	503	46,370	1,084.8
	1971	490	46,606	1,051.4
	1972	532	47,533	1,119.2
	1973	481	47,292	1,017.1
	1974	446	47,301	942.9
	1975	463	47,937	965.9
	1976	491	48,599	1,010.3
	1977	490	49,142	997.1
	1978	460	49,265	933.7
	Total	5,382	522,472	1,030.1
Clinton County, NY (36019)	1968	540	68,667	786.4
	1969	588	70,958	828.7
	1970	556	73,004	761.6
	1971	576	76,594	752.0
	1972	570	80,500	708.1
	1973	535	79,037	676.9
