
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Kent County, DE (10001)	1968	638	76,331	835.8
	1969	589	79,454	741.3
	1970	632	82,186	769.0
	1971	664	86,784	765.1
	1972	680	89,542	759.4
	1973	628	90,203	696.2
	1974	689	90,997	757.2
	1975	684	92,552	739.0
	1976	623	94,456	659.6
	1977	628	96,296	652.2
	1978	709	98,367	720.8
	Total	7,164	977,168	733.1
New Castle County, DE (10003)	1968	3,280	374,862	875.0
	1969	3,243	380,890	851.4
	1970	3,336	386,277	863.6
	1971	3,263	394,602	826.9
	1972	3,284	398,261	824.6
	1973	3,265	400,665	814.9
	1974	3,260	401,884	811.2
	1975	3,057	404,265	756.2
	1976	3,144	404,362	777.5
	1977	3,162	404,245	782.2
	1978	3,257	404,481	805.2
	Total	35,551	4,354,794	816.4
Sussex County, DE (10005)	1968	978	76,139	1,284.5
	1969	923	78,496	1,175.9
	1970	948	80,446	1,178.4
	1971	897	83,992	1,068.0
	1972	998	85,253	1,170.6
	1973	1,027	87,157	1,178.3
	1974	1,037	89,563	1,157.8
	1975	941	91,484	1,028.6
	1976	1,014	93,674	1,082.5
	1977	948	94,670	1,001.4
	1978	991	95,778	1,034.7
	Total	10,702	956,652	1,118.7
Total		53,417	6,288,614	849.4
